call_index,filename,symbol,cluster_confidence,top_context,context_confidence,alt_context,alt_confidence,valence,arousal,caller_age_sex,body_part,comm_mode,directed_at,context_probabilities,interpretation,confidence,confidence_note,alternative
92,session_05_call_0013.wav,47,1.0,Calf Nourishment & Weaning,0.295,Protest & Distress,0.18,positive,medium,calf,feet,chemical,,"{'Advertisement & Attraction': 0.035, 'Affiliative': 0.045, 'Aggressive': 0.05, 'Attentive': 0.0, 'Avoidance': 0.04, 'Birth': 0.17, 'Calf Nourishment & Weaning': 0.295, 'Calf Reassurance & Protection': 0.025, 'Coalition Building': 0.005, 'Conflict & Confrontation': 0.065, 'Courtship': 0.01, 'Foraging & Comfort Technique': 0.025, 'Lone & Object Play': 0.055, 'Maintenance': 0.0, 'Protest & Distress': 0.18}",The call is associated with nursing or feeding of a calf— the calf may be requesting to nurse.,29.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (18.0%)
93,session_05_call_0014.wav,47,1.0,Avoidance,0.335,Protest & Distress,0.19,negative,high,calf,body,visual,,"{'Advertisement & Attraction': 0.02, 'Affiliative': 0.01, 'Aggressive': 0.13, 'Attentive': 0.005, 'Avoidance': 0.335, 'Birth': 0.14, 'Calf Nourishment & Weaning': 0.005, 'Calf Reassurance & Protection': 0.01, 'Coalition Building': 0.01, 'Conflict & Confrontation': 0.12, 'Courtship': 0.015, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.01, 'Maintenance': 0.0, 'Protest & Distress': 0.19}","The elephant is signaling avoidance or retreat— a calf may be attempting to avoid an unpleasant interaction with urgency, possibly fleeing.",33.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (19.0%)
94,session_05_call_0015.wav,47,1.0,Birth,0.535,Protest & Distress,0.285,negative,high,calf,ears,chemical,,"{'Advertisement & Attraction': 0.03, 'Affiliative': 0.005, 'Aggressive': 0.025, 'Attentive': 0.0, 'Avoidance': 0.025, 'Birth': 0.535, 'Calf Nourishment & Weaning': 0.01, 'Calf Reassurance & Protection': 0.0, 'Coalition Building': 0.005, 'Conflict & Confrontation': 0.07, 'Courtship': 0.005, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.005, 'Maintenance': 0.0, 'Protest & Distress': 0.285}",The call is associated with a birth event.,53.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (28.5%)
95,session_05_call_0016.wav,47,1.0,Protest & Distress,0.225,Coalition Building,0.205,positive,medium,calf,ears,seismic,,"{'Advertisement & Attraction': 0.08, 'Affiliative': 0.02, 'Aggressive': 0.06, 'Attentive': 0.0, 'Avoidance': 0.04, 'Birth': 0.13, 'Calf Nourishment & Weaning': 0.045, 'Calf Reassurance & Protection': 0.045, 'Coalition Building': 0.205, 'Conflict & Confrontation': 0.025, 'Courtship': 0.05, 'Foraging & Comfort Technique': 0.015, 'Lone & Object Play': 0.06, 'Maintenance': 0.0, 'Protest & Distress': 0.225}",The elephant appears to be in distress or protesting a situation— the calf may be separated from its mother or uncomfortable.,22.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Coalition Building (20.5%)
96,session_05_call_0017.wav,47,1.0,Calf Nourishment & Weaning,0.3,Protest & Distress,0.19,positive,medium,calf,ears,acoustic,,"{'Advertisement & Attraction': 0.04, 'Affiliative': 0.065, 'Aggressive': 0.03, 'Attentive': 0.005, 'Avoidance': 0.02, 'Birth': 0.125, 'Calf Nourishment & Weaning': 0.3, 'Calf Reassurance & Protection': 0.035, 'Coalition Building': 0.05, 'Conflict & Confrontation': 0.04, 'Courtship': 0.015, 'Foraging & Comfort Technique': 0.03, 'Lone & Object Play': 0.055, 'Maintenance': 0.0, 'Protest & Distress': 0.19}",The call is associated with nursing or feeding of a calf— the calf may be requesting to nurse.,30.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (19.0%)
97,session_05_call_0018.wav,47,1.0,Foraging & Comfort Technique,0.36,Coalition Building,0.12,neutral,low,calf,body,visual,,"{'Advertisement & Attraction': 0.065, 'Affiliative': 0.005, 'Aggressive': 0.02, 'Attentive': 0.07, 'Avoidance': 0.015, 'Birth': 0.075, 'Calf Nourishment & Weaning': 0.01, 'Calf Reassurance & Protection': 0.045, 'Coalition Building': 0.12, 'Conflict & Confrontation': 0.005, 'Courtship': 0.045, 'Foraging & Comfort Technique': 0.36, 'Lone & Object Play': 0.055, 'Maintenance': 0.045, 'Protest & Distress': 0.065}",The elephant is likely signaling interest in food or foraging activity in a routine manner.,36.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Coalition Building (12.0%)
98,session_05_call_0019.wav,47,1.0,Advertisement & Attraction,0.385,Birth,0.34,neutral,high,calf,feet,seismic,,"{'Advertisement & Attraction': 0.385, 'Affiliative': 0.01, 'Aggressive': 0.005, 'Attentive': 0.0, 'Avoidance': 0.005, 'Birth': 0.34, 'Calf Nourishment & Weaning': 0.0, 'Calf Reassurance & Protection': 0.005, 'Coalition Building': 0.0, 'Conflict & Confrontation': 0.025, 'Courtship': 0.02, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.02, 'Maintenance': 0.005, 'Protest & Distress': 0.18}",The elephant is producing an advertisement call to attract attention.,38.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Birth (34.0%)
99,session_05_call_0020.wav,47,1.0,Foraging & Comfort Technique,0.32,Protest & Distress,0.13,neutral,low,calf,trunk,acoustic,,"{'Advertisement & Attraction': 0.05, 'Affiliative': 0.06, 'Aggressive': 0.025, 'Attentive': 0.02, 'Avoidance': 0.015, 'Birth': 0.075, 'Calf Nourishment & Weaning': 0.04, 'Calf Reassurance & Protection': 0.035, 'Coalition Building': 0.06, 'Conflict & Confrontation': 0.01, 'Courtship': 0.055, 'Foraging & Comfort Technique': 0.32, 'Lone & Object Play': 0.095, 'Maintenance': 0.01, 'Protest & Distress': 0.13}",The elephant is likely signaling interest in food or foraging activity in a routine manner.,32.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (13.0%)
100,session_06_call_0001.wav,47,1.0,Aggressive,0.32,Protest & Distress,0.315,negative,high,calf,ears,acoustic,,"{'Advertisement & Attraction': 0.035, 'Affiliative': 0.0, 'Aggressive': 0.32, 'Attentive': 0.005, 'Avoidance': 0.005, 'Birth': 0.195, 'Calf Nourishment & Weaning': 0.02, 'Calf Reassurance & Protection': 0.0, 'Coalition Building': 0.0, 'Conflict & Confrontation': 0.08, 'Courtship': 0.015, 'Foraging & Comfort Technique': 0.005, 'Lone & Object Play': 0.005, 'Maintenance': 0.0, 'Protest & Distress': 0.315}","The elephant is displaying aggressive or threatening behavior with high intensity, possibly escalating to confrontation with ears spread wide (visual threat display).",32.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (31.5%)
101,session_06_call_0002.wav,47,1.0,Attentive,0.47,Protest & Distress,0.11,neutral,low,calf,mouth,acoustic,,"{'Advertisement & Attraction': 0.025, 'Affiliative': 0.035, 'Aggressive': 0.025, 'Attentive': 0.47, 'Avoidance': 0.02, 'Birth': 0.065, 'Calf Nourishment & Weaning': 0.045, 'Calf Reassurance & Protection': 0.0, 'Coalition Building': 0.055, 'Conflict & Confrontation': 0.03, 'Courtship': 0.01, 'Foraging & Comfort Technique': 0.045, 'Lone & Object Play': 0.015, 'Maintenance': 0.05, 'Protest & Distress': 0.11}","The elephant is in an alert, attentive state — listening or monitoring.",47.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (11.0%)
102,session_06_call_0003.wav,5,1.0,Calf Reassurance & Protection,0.22,Protest & Distress,0.195,positive,low,adult_female,body,acoustic,,"{'Advertisement & Attraction': 0.055, 'Affiliative': 0.04, 'Aggressive': 0.045, 'Attentive': 0.005, 'Avoidance': 0.045, 'Birth': 0.14, 'Calf Nourishment & Weaning': 0.035, 'Calf Reassurance & Protection': 0.22, 'Coalition Building': 0.045, 'Conflict & Confrontation': 0.01, 'Courtship': 0.03, 'Foraging & Comfort Technique': 0.015, 'Lone & Object Play': 0.12, 'Maintenance': 0.0, 'Protest & Distress': 0.195}",An adult is providing reassurance or protection to a calf— likely the mother responding to calf distress.,22.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (19.5%)
103,session_06_call_0004.wav,47,1.0,Protest & Distress,0.37,Conflict & Confrontation,0.16,negative,high,calf,ears,acoustic,,"{'Advertisement & Attraction': 0.05, 'Affiliative': 0.015, 'Aggressive': 0.055, 'Attentive': 0.0, 'Avoidance': 0.055, 'Birth': 0.145, 'Calf Nourishment & Weaning': 0.03, 'Calf Reassurance & Protection': 0.01, 'Coalition Building': 0.015, 'Conflict & Confrontation': 0.16, 'Courtship': 0.005, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.09, 'Maintenance': 0.0, 'Protest & Distress': 0.37}",The elephant appears to be in distress or protesting a situation— the calf may be separated from its mother or uncomfortable with high urgency.,37.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Conflict & Confrontation (16.0%)
104,session_06_call_0005.wav,47,1.0,Lone & Object Play,0.435,Protest & Distress,0.14,positive,low,calf,trunk,acoustic,,"{'Advertisement & Attraction': 0.045, 'Affiliative': 0.04, 'Aggressive': 0.03, 'Attentive': 0.015, 'Avoidance': 0.005, 'Birth': 0.095, 'Calf Nourishment & Weaning': 0.015, 'Calf Reassurance & Protection': 0.04, 'Coalition Building': 0.055, 'Conflict & Confrontation': 0.01, 'Courtship': 0.015, 'Foraging & Comfort Technique': 0.035, 'Lone & Object Play': 0.435, 'Maintenance': 0.025, 'Protest & Distress': 0.14}","The elephant is vocalizing during solitary play or interaction with objects— a calf playing on its own, vocalizations may be self-directed.",43.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (14.0%)
105,session_06_call_0006.wav,5,1.0,Conflict & Confrontation,0.31,Protest & Distress,0.275,negative,high,adult_female,ears,seismic,,"{'Advertisement & Attraction': 0.02, 'Affiliative': 0.0, 'Aggressive': 0.13, 'Attentive': 0.0, 'Avoidance': 0.045, 'Birth': 0.19, 'Calf Nourishment & Weaning': 0.005, 'Calf Reassurance & Protection': 0.0, 'Coalition Building': 0.01, 'Conflict & Confrontation': 0.31, 'Courtship': 0.005, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.01, 'Maintenance': 0.0, 'Protest & Distress': 0.275}",The call is associated with an active conflict or confrontation with high intensity.,31.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (27.5%)
106,session_06_call_0007.wav,47,1.0,Protest & Distress,0.345,Birth,0.265,negative,high,calf,ears,acoustic,,"{'Advertisement & Attraction': 0.02, 'Affiliative': 0.015, 'Aggressive': 0.075, 'Attentive': 0.005, 'Avoidance': 0.075, 'Birth': 0.265, 'Calf Nourishment & Weaning': 0.03, 'Calf Reassurance & Protection': 0.005, 'Coalition Building': 0.0, 'Conflict & Confrontation': 0.105, 'Courtship': 0.02, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.04, 'Maintenance': 0.0, 'Protest & Distress': 0.345}",The elephant appears to be in distress or protesting a situation— the calf may be separated from its mother or uncomfortable with high urgency.,34.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Birth (26.5%)
107,session_06_call_0008.wav,47,1.0,Protest & Distress,0.235,Birth,0.14,positive,low,adult_female,body,acoustic,,"{'Advertisement & Attraction': 0.04, 'Affiliative': 0.07, 'Aggressive': 0.06, 'Attentive': 0.005, 'Avoidance': 0.07, 'Birth': 0.14, 'Calf Nourishment & Weaning': 0.04, 'Calf Reassurance & Protection': 0.035, 'Coalition Building': 0.07, 'Conflict & Confrontation': 0.05, 'Courtship': 0.07, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.115, 'Maintenance': 0.0, 'Protest & Distress': 0.235}","The elephant appears to be in distress or protesting a situation at a low level, possibly mild discomfort.",23.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Birth (14.0%)
108,session_06_call_0009.wav,47,1.0,Courtship,0.32,Protest & Distress,0.175,positive,medium,adult_female,body,acoustic,,"{'Advertisement & Attraction': 0.075, 'Affiliative': 0.02, 'Aggressive': 0.045, 'Attentive': 0.005, 'Avoidance': 0.045, 'Birth': 0.155, 'Calf Nourishment & Weaning': 0.0, 'Calf Reassurance & Protection': 0.01, 'Coalition Building': 0.025, 'Conflict & Confrontation': 0.025, 'Courtship': 0.32, 'Foraging & Comfort Technique': 0.005, 'Lone & Object Play': 0.085, 'Maintenance': 0.01, 'Protest & Distress': 0.175}",The call is associated with courtship or mating behavior— the female may be signaling receptivity.,32.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (17.5%)
109,session_06_call_0010.wav,5,1.0,Protest & Distress,0.175,Birth,0.135,positive,medium,adult_female,feet,seismic,,"{'Advertisement & Attraction': 0.04, 'Affiliative': 0.085, 'Aggressive': 0.085, 'Attentive': 0.015, 'Avoidance': 0.08, 'Birth': 0.135, 'Calf Nourishment & Weaning': 0.12, 'Calf Reassurance & Protection': 0.04, 'Coalition Building': 0.035, 'Conflict & Confrontation': 0.045, 'Courtship': 0.04, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.105, 'Maintenance': 0.0, 'Protest & Distress': 0.175}",The elephant appears to be in distress or protesting a situation.,17.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Birth (13.5%)
110,session_06_call_0011.wav,28,1.0,Courtship,0.305,Protest & Distress,0.23,positive,high,adult_female,trunk,visual,,"{'Advertisement & Attraction': 0.115, 'Affiliative': 0.01, 'Aggressive': 0.01, 'Attentive': 0.0, 'Avoidance': 0.03, 'Birth': 0.195, 'Calf Nourishment & Weaning': 0.005, 'Calf Reassurance & Protection': 0.005, 'Coalition Building': 0.0, 'Conflict & Confrontation': 0.045, 'Courtship': 0.305, 'Foraging & Comfort Technique': 0.01, 'Lone & Object Play': 0.04, 'Maintenance': 0.0, 'Protest & Distress': 0.23}",The call is associated with courtship or mating behavior— the female may be signaling receptivity.,30.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (23.0%)
111,session_06_call_0012.wav,5,1.0,Calf Nourishment & Weaning,0.355,Protest & Distress,0.185,positive,medium,adult_female,ears,acoustic,,"{'Advertisement & Attraction': 0.025, 'Affiliative': 0.04, 'Aggressive': 0.025, 'Attentive': 0.005, 'Avoidance': 0.025, 'Birth': 0.15, 'Calf Nourishment & Weaning': 0.355, 'Calf Reassurance & Protection': 0.05, 'Coalition Building': 0.005, 'Conflict & Confrontation': 0.035, 'Courtship': 0.01, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.09, 'Maintenance': 0.0, 'Protest & Distress': 0.185}",The call is associated with nursing or feeding of a calf— the mother may be signaling feeding time or beginning weaning.,35.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (18.5%)
112,session_06_call_0013.wav,5,1.0,Foraging & Comfort Technique,0.22,Protest & Distress,0.135,positive,low,adult_female,body,chemical,,"{'Advertisement & Attraction': 0.04, 'Affiliative': 0.08, 'Aggressive': 0.045, 'Attentive': 0.06, 'Avoidance': 0.025, 'Birth': 0.065, 'Calf Nourishment & Weaning': 0.08, 'Calf Reassurance & Protection': 0.02, 'Coalition Building': 0.07, 'Conflict & Confrontation': 0.02, 'Courtship': 0.01, 'Foraging & Comfort Technique': 0.22, 'Lone & Object Play': 0.12, 'Maintenance': 0.01, 'Protest & Distress': 0.135}",The elephant is likely signaling interest in food or foraging activity in a routine manner.,22.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (13.5%)
113,session_06_call_0014.wav,47,1.0,Protest & Distress,0.615,Birth,0.225,negative,high,calf,body,acoustic,,"{'Advertisement & Attraction': 0.02, 'Affiliative': 0.005, 'Aggressive': 0.04, 'Attentive': 0.0, 'Avoidance': 0.015, 'Birth': 0.225, 'Calf Nourishment & Weaning': 0.005, 'Calf Reassurance & Protection': 0.0, 'Coalition Building': 0.0, 'Conflict & Confrontation': 0.07, 'Courtship': 0.0, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.005, 'Maintenance': 0.0, 'Protest & Distress': 0.615}",The elephant appears to be in distress or protesting a situation— the calf may be separated from its mother or uncomfortable with high urgency.,61.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Birth (22.5%)
114,session_06_call_0015.wav,28,1.0,Birth,0.55,Protest & Distress,0.16,neutral,high,adult_female,body,acoustic,,"{'Advertisement & Attraction': 0.0, 'Affiliative': 0.005, 'Aggressive': 0.07, 'Attentive': 0.0, 'Avoidance': 0.075, 'Birth': 0.55, 'Calf Nourishment & Weaning': 0.01, 'Calf Reassurance & Protection': 0.0, 'Coalition Building': 0.0, 'Conflict & Confrontation': 0.095, 'Courtship': 0.01, 'Foraging & Comfort Technique': 0.005, 'Lone & Object Play': 0.02, 'Maintenance': 0.0, 'Protest & Distress': 0.16}",The call is associated with a birth event— the mother or attending females are vocalizing during or after birth.,55.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (16.0%)
115,session_06_call_0016.wav,30,1.0,Protest & Distress,0.325,Aggressive,0.23,negative,high,adult_female,trunk,acoustic,,"{'Advertisement & Attraction': 0.025, 'Affiliative': 0.0, 'Aggressive': 0.23, 'Attentive': 0.0, 'Avoidance': 0.055, 'Birth': 0.165, 'Calf Nourishment & Weaning': 0.02, 'Calf Reassurance & Protection': 0.005, 'Coalition Building': 0.0, 'Conflict & Confrontation': 0.155, 'Courtship': 0.0, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.02, 'Maintenance': 0.0, 'Protest & Distress': 0.325}",The elephant appears to be in distress or protesting a situation with high urgency.,32.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Aggressive (23.0%)
116,session_06_call_0017.wav,28,1.0,Protest & Distress,0.37,Aggressive,0.2,negative,high,adult_female,ears,acoustic,,"{'Advertisement & Attraction': 0.025, 'Affiliative': 0.01, 'Aggressive': 0.2, 'Attentive': 0.0, 'Avoidance': 0.05, 'Birth': 0.115, 'Calf Nourishment & Weaning': 0.015, 'Calf Reassurance & Protection': 0.005, 'Coalition Building': 0.0, 'Conflict & Confrontation': 0.195, 'Courtship': 0.005, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.005, 'Maintenance': 0.005, 'Protest & Distress': 0.37}",The elephant appears to be in distress or protesting a situation with high urgency.,37.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Aggressive (20.0%)
117,session_06_call_0018.wav,47,1.0,Courtship,0.33,Protest & Distress,0.175,positive,medium,adult_female,ears,acoustic,,"{'Advertisement & Attraction': 0.11, 'Affiliative': 0.01, 'Aggressive': 0.03, 'Attentive': 0.0, 'Avoidance': 0.035, 'Birth': 0.13, 'Calf Nourishment & Weaning': 0.015, 'Calf Reassurance & Protection': 0.015, 'Coalition Building': 0.015, 'Conflict & Confrontation': 0.05, 'Courtship': 0.33, 'Foraging & Comfort Technique': 0.01, 'Lone & Object Play': 0.075, 'Maintenance': 0.0, 'Protest & Distress': 0.175}",The call is associated with courtship or mating behavior— the female may be signaling receptivity.,33.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (17.5%)
118,session_06_call_0019.wav,47,1.0,Aggressive,0.36,Protest & Distress,0.26,negative,high,adult_female,ears,chemical,,"{'Advertisement & Attraction': 0.05, 'Affiliative': 0.01, 'Aggressive': 0.36, 'Attentive': 0.0, 'Avoidance': 0.05, 'Birth': 0.105, 'Calf Nourishment & Weaning': 0.005, 'Calf Reassurance & Protection': 0.01, 'Coalition Building': 0.01, 'Conflict & Confrontation': 0.095, 'Courtship': 0.01, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.035, 'Maintenance': 0.0, 'Protest & Distress': 0.26}","The elephant is displaying aggressive or threatening behavior— likely a dominance assertion with high intensity, possibly escalating to confrontation with ears spread wide (visual threat display).",36.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (26.0%)
119,session_06_call_0020.wav,47,1.0,Protest & Distress,0.355,Aggressive,0.24,negative,high,calf,feet,visual,,"{'Advertisement & Attraction': 0.04, 'Affiliative': 0.005, 'Aggressive': 0.24, 'Attentive': 0.0, 'Avoidance': 0.05, 'Birth': 0.155, 'Calf Nourishment & Weaning': 0.01, 'Calf Reassurance & Protection': 0.02, 'Coalition Building': 0.0, 'Conflict & Confrontation': 0.075, 'Courtship': 0.005, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.045, 'Maintenance': 0.0, 'Protest & Distress': 0.355}",The elephant appears to be in distress or protesting a situation— the calf may be separated from its mother or uncomfortable with high urgency.,35.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Aggressive (24.0%)
120,session_07_call_0001.wav,28,1.0,Protest & Distress,0.24,Birth,0.155,positive,high,calf,body,acoustic,,"{'Advertisement & Attraction': 0.045, 'Affiliative': 0.125, 'Aggressive': 0.04, 'Attentive': 0.02, 'Avoidance': 0.04, 'Birth': 0.155, 'Calf Nourishment & Weaning': 0.125, 'Calf Reassurance & Protection': 0.01, 'Coalition Building': 0.035, 'Conflict & Confrontation': 0.045, 'Courtship': 0.01, 'Foraging & Comfort Technique': 0.035, 'Lone & Object Play': 0.075, 'Maintenance': 0.0, 'Protest & Distress': 0.24}",The elephant appears to be in distress or protesting a situation— the calf may be separated from its mother or uncomfortable with high urgency.,24.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Birth (15.5%)
121,session_07_call_0002.wav,47,1.0,Foraging & Comfort Technique,0.395,Maintenance,0.12,neutral,low,subadult_male,feet,acoustic,,"{'Advertisement & Attraction': 0.04, 'Affiliative': 0.015, 'Aggressive': 0.02, 'Attentive': 0.065, 'Avoidance': 0.015, 'Birth': 0.06, 'Calf Nourishment & Weaning': 0.02, 'Calf Reassurance & Protection': 0.05, 'Coalition Building': 0.025, 'Conflict & Confrontation': 0.01, 'Courtship': 0.07, 'Foraging & Comfort Technique': 0.395, 'Lone & Object Play': 0.025, 'Maintenance': 0.12, 'Protest & Distress': 0.07}",The elephant is likely signaling interest in food or foraging activity in a routine manner.,39.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Maintenance (12.0%)
122,session_07_call_0003.wav,28,1.0,Avoidance,0.325,Protest & Distress,0.29,negative,high,calf,feet,acoustic,,"{'Advertisement & Attraction': 0.035, 'Affiliative': 0.0, 'Aggressive': 0.08, 'Attentive': 0.005, 'Avoidance': 0.325, 'Birth': 0.115, 'Calf Nourishment & Weaning': 0.005, 'Calf Reassurance & Protection': 0.005, 'Coalition Building': 0.0, 'Conflict & Confrontation': 0.13, 'Courtship': 0.0, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.01, 'Maintenance': 0.0, 'Protest & Distress': 0.29}","The elephant is signaling avoidance or retreat— a calf may be attempting to avoid an unpleasant interaction with urgency, possibly fleeing.",32.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (29.0%)
123,session_07_call_0004.wav,28,1.0,Affiliative,0.335,Protest & Distress,0.255,positive,low,calf,ears,acoustic,,"{'Advertisement & Attraction': 0.005, 'Affiliative': 0.335, 'Aggressive': 0.03, 'Attentive': 0.0, 'Avoidance': 0.02, 'Birth': 0.16, 'Calf Nourishment & Weaning': 0.075, 'Calf Reassurance & Protection': 0.01, 'Coalition Building': 0.0, 'Conflict & Confrontation': 0.03, 'Courtship': 0.03, 'Foraging & Comfort Technique': 0.005, 'Lone & Object Play': 0.035, 'Maintenance': 0.01, 'Protest & Distress': 0.255}","The elephant is engaging in social bonding or friendly contact— likely a calf seeking comfort from a family member in a calm, relaxed manner.",33.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (25.5%)
124,session_07_call_0005.wav,47,1.0,Protest & Distress,0.26,Courtship,0.24,neutral,high,calf,feet,acoustic,,"{'Advertisement & Attraction': 0.15, 'Affiliative': 0.005, 'Aggressive': 0.02, 'Attentive': 0.0, 'Avoidance': 0.005, 'Birth': 0.195, 'Calf Nourishment & Weaning': 0.005, 'Calf Reassurance & Protection': 0.0, 'Coalition Building': 0.02, 'Conflict & Confrontation': 0.045, 'Courtship': 0.24, 'Foraging & Comfort Technique': 0.005, 'Lone & Object Play': 0.05, 'Maintenance': 0.0, 'Protest & Distress': 0.26}",The elephant appears to be in distress or protesting a situation— the calf may be separated from its mother or uncomfortable with high urgency.,26.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Courtship (24.0%)
125,session_07_call_0006.wav,47,1.0,Foraging & Comfort Technique,0.26,Maintenance,0.165,neutral,low,calf,feet,acoustic,,"{'Advertisement & Attraction': 0.055, 'Affiliative': 0.02, 'Aggressive': 0.01, 'Attentive': 0.065, 'Avoidance': 0.015, 'Birth': 0.055, 'Calf Nourishment & Weaning': 0.015, 'Calf Reassurance & Protection': 0.115, 'Coalition Building': 0.06, 'Conflict & Confrontation': 0.01, 'Courtship': 0.035, 'Foraging & Comfort Technique': 0.26, 'Lone & Object Play': 0.035, 'Maintenance': 0.165, 'Protest & Distress': 0.085}",The elephant is likely signaling interest in food or foraging activity in a routine manner.,26.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Maintenance (16.5%)
126,session_07_call_0007.wav,47,1.0,Avoidance,0.37,Protest & Distress,0.16,negative,medium,calf,trunk,acoustic,,"{'Advertisement & Attraction': 0.045, 'Affiliative': 0.025, 'Aggressive': 0.08, 'Attentive': 0.0, 'Avoidance': 0.37, 'Birth': 0.115, 'Calf Nourishment & Weaning': 0.055, 'Calf Reassurance & Protection': 0.005, 'Coalition Building': 0.01, 'Conflict & Confrontation': 0.065, 'Courtship': 0.03, 'Foraging & Comfort Technique': 0.005, 'Lone & Object Play': 0.035, 'Maintenance': 0.0, 'Protest & Distress': 0.16}",The elephant is signaling avoidance or retreat— a calf may be attempting to avoid an unpleasant interaction.,37.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (16.0%)
127,session_07_call_0008.wav,47,1.0,Foraging & Comfort Technique,0.305,Protest & Distress,0.12,neutral,low,calf,feet,seismic,,"{'Advertisement & Attraction': 0.035, 'Affiliative': 0.02, 'Aggressive': 0.005, 'Attentive': 0.095, 'Avoidance': 0.02, 'Birth': 0.06, 'Calf Nourishment & Weaning': 0.025, 'Calf Reassurance & Protection': 0.065, 'Coalition Building': 0.05, 'Conflict & Confrontation': 0.015, 'Courtship': 0.015, 'Foraging & Comfort Technique': 0.305, 'Lone & Object Play': 0.055, 'Maintenance': 0.115, 'Protest & Distress': 0.12}",The elephant is likely signaling interest in food or foraging activity in a routine manner.,30.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (12.0%)
128,session_07_call_0009.wav,47,1.0,Attentive,0.445,Protest & Distress,0.12,neutral,low,calf,trunk,chemical,,"{'Advertisement & Attraction': 0.045, 'Affiliative': 0.02, 'Aggressive': 0.02, 'Attentive': 0.445, 'Avoidance': 0.015, 'Birth': 0.08, 'Calf Nourishment & Weaning': 0.035, 'Calf Reassurance & Protection': 0.01, 'Coalition Building': 0.04, 'Conflict & Confrontation': 0.015, 'Courtship': 0.005, 'Foraging & Comfort Technique': 0.04, 'Lone & Object Play': 0.01, 'Maintenance': 0.1, 'Protest & Distress': 0.12}","The elephant is in an alert, attentive state — listening or monitoring.",44.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (12.0%)
